county,office,district,candidate,party,election_day,absentee,votes
Shiawassee,Straight Party,,U.S. Taxpayers Party,,,,50
Shiawassee,Straight Party,,Working Class Party,,,,151
Shiawassee,Straight Party,,Green Party,,,,47
Shiawassee,Straight Party,,Natural Law Party,,,,25
Shiawassee,President,,Joseph R. Biden/Kamala D. Harris,,,,15347
Shiawassee,President,,Donald J. Trump/Michael R. Pence,,,,23149
Shiawassee,President,,Jo Jorgensen/Jeremy Cohen,,,,524
Shiawassee,President,,Don Blankenship/William Mohr,,,,82
Shiawassee,President,,Howie Hawkins/Angela Walker,,,,98
Shiawassee,President,,Rocky De La Fuente/Darcy Richardson,,,,20
Shiawassee,President,,Total Write-in,,,,81
Shiawassee,President,,QW - Brian T. Carroll,,,,3
Shiawassee,President,,QW - Tom Hoeﬂing,,,,0
Shiawassee,President,,QW - Tara Renee Hunter,,,,0
Shiawassee,President,,QW - Jade Simmons,,,,1
Shiawassee,President,,QW - Kasey Wells,,,,0
Shiawassee,President,,Unqualified Write-Ins,,,,77
Shiawassee,U.S. Senate,,Gary Peters,,,,15830
Shiawassee,U.S. Senate,,John James,,,,22110
Shiawassee,U.S. Senate,,Valerie L. Willis,,,,424
Shiawassee,U.S. Senate,,Marcia Squier,,,,245
Shiawassee,U.S. Senate,,Doug Dern,,,,116
Shiawassee,U.S. Senate,,Total write-in,,,,41
Shiawassee,U.S. Senate,,QW - Robert William Carr,,,,0
Shiawassee,U.S. Senate,,QW - Leonard Paul Gadzinski,,,,0
Shiawassee,U.S. Senate,,Unqualified Write-Ins,,,,41
Shiawassee,State House,85,Andrea Kelly Garrison,,,,13537
Shiawassee,State House,85,Ben Frederick,,,,24471
Shiawassee,State House,85,Total write-in,,,,135
Shiawassee,U.S. House,4,Jerry Hilliard,,,,13142
Shiawassee,U.S. House,4,John Moolenaar,,,,23721
Shiawassee,U.S. House,4,David Canny,,,,631
Shiawassee,U.S. House,4,Amy Slepr,,,,523
Shiawassee,U.S. House,4,Total write-in,,,,94
St. Joseph,Straight Party,,Democratic Party,,,,4502
St. Joseph,Straight Party,,Republican Party,,,,11145
St. Joseph,Straight Party,,Libertarian Party,,,,135
St. Joseph,Straight Party,,U.S. Taxpayers Party,,,,42
St. Joseph,Straight Party,,Working Class Party,,,,104
St. Joseph,Straight Party,,Green Party,,,,33
St. Joseph,Straight Party,,Natural Law Party,,,,29
St. Joseph,President,,Joseph R. Biden/Kamala D. Harris,,,,9262
St. Joseph,President,,Donald J. Trump/Michael R. Pence,,,,18127
St. Joseph,President,,Jo Jorgensen/Jeremy Cohen,,,,416
St. Joseph,President,,Don Blankenship/William Mohr,,,,49
St. Joseph,President,,Howie Hawkins/Angela Walker,,,,63
St. Joseph,President,,Rocky De La Fuente/Darcy Richardson,,,,18
St. Joseph,President,,Total Write-in,,,,46
St. Joseph,President,,QW - Brian T. Carroll,,,,0
St. Joseph,President,,QW - Tom Hoeﬂing,,,,0
St. Joseph,President,,QW - Tara Renee Hunter,,,,0
St. Joseph,President,,QW - Jade Simmons,,,,1
St. Joseph,President,,QW - Kasey Wells,,,,0
St. Joseph,President,,Unqualified Write-Ins,,,,45
St. Joseph,U.S. Senate,,Gary Peters,,,,8824
St. Joseph,U.S. Senate,,John James,,,,18018
St. Joseph,U.S. Senate,,Valerie L. Willis,,,,390
St. Joseph,U.S. Senate,,Marcia Squier,,,,240
St. Joseph,U.S. Senate,,Doug Dern,,,,109
St. Joseph,U.S. Senate,,Total write-in,,,,49
St. Joseph,U.S. Senate,,QW - Robert William Carr,,,,0
St. Joseph,U.S. Senate,,QW - Leonard Paul Gadzinski,,,,0
St. Joseph,U.S. Senate,,Unqualified Write-Ins,,,,49
St. Joseph,U.S. House,6,Jon Hoadley,,,,7486
St. Joseph,U.S. House,6,Fred Upton,,,,18141
St. Joseph,U.S. House,6,Jeff DePoy,,,,844
St. Joseph,U.S. House,6,John Lawrence,,,,391
St. Joseph,U.S. House,6,Total write-in,,,,567
St. Joseph,U.S. House,6,QW - Jerry Solis,,,,484
St. Joseph,U.S. House,6,Unqualified Write-Ins,,,,83
St. Joseph,State House,59,Amy L. East,,,,9097
St. Joseph,State House,59,Steve Carra,,,,16999
St. Joseph,State House,59,Total write-in,,,,1015
St. Joseph,State House,59,QW - Jack Coleman,,,,806
St. Joseph,State House,59,Unqualified Write-Ins,,,,209
